step,design:pTM,design:global_pLDDT,design:hydrophobic,design:state_energy,system_energy
0,-0.19685674,-0.49392977,0.3442211055276382,1.0303191,1.0303191
1,-0.1466074,-0.46042022,0.345088161209068,1.1184132,1.1184132
2,-0.13863575,-0.49283066,0.345088161209068,1.0939745,1.0939745
3,-0.14026965,-0.482199,0.3401015228426396,1.0780389,1.0780389
4,-0.13787045,-0.49533248,0.34183673469387754,1.0759808,1.0759808
5,-0.10362014,-0.47916153,0.32061068702290074,1.0202718,1.0202718
6,-0.104053125,-0.4843223,0.3197969543147208,1.0106093,1.0106093
7,-0.10469474,-0.4541277,0.30434782608695654,0.9629167,0.9629167
8,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
9,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
10,-0.10497676,-0.444082,0.2828282828282828,0.8650827,0.8650827
11,-0.10657575,-0.4437656,0.2619647355163728,0.75948226,0.75948226
12,-0.10607237,-0.4475524,0.26329113924050634,0.7628309,0.7628309
13,-0.10607237,-0.4475524,0.26329113924050634,0.7628309,0.7628309
14,-0.106583364,-0.42532524,0.2807017543859649,0.87160015,0.87160015
15,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
16,-0.10565185,-0.43247524,0.25806451612903225,0.7521955,0.7521955
17,-0.10427191,-0.42874062,0.27791563275434245,0.8565657,0.8565657
18,-0.10535396,-0.4305175,0.28211586901763225,0.8747079,0.8747079
19,-0.09572639,-0.4035666,0.28498727735368956,0.92564344,0.92564344
20,-0.09528692,-0.41035762,0.28717948717948716,0.9302529,0.9302529
21,-0.100185245,-0.401366,0.28354430379746837,0.91617024,0.91617024
22,-0.119725466,-0.41761866,0.30456852791878175,0.98549855,0.98549855
23,-0.21038613,-0.43257663,0.3275,0.9945373,0.9945373
24,-0.18181157,-0.41936943,0.34663341645885287,1.131986,1.131986
25,-0.13175155,-0.42506158,0.32160804020100503,1.0512271,1.0512271
26,-0.15666741,-0.4297672,0.3208020050125313,1.0175754,1.0175754
27,-0.1299222,-0.41637337,0.32160804020100503,1.0617447,1.0617447
28,-0.12954433,-0.42495346,0.34517766497461927,1.1713905,1.1713905
29,-0.17088042,-0.47677752,0.34782608695652173,1.0914724,1.0914724
30,-0.17088042,-0.47677752,0.34782608695652173,1.0914724,1.0914724
31,-0.17088042,-0.47677752,0.34782608695652173,1.0914724,1.0914724
32,-0.24465472,-0.51081884,0.3657289002557545,1.0731709,1.0731709
33,-0.24817342,-0.5307799,0.3629441624365482,1.0357676,1.0357676
34,-0.29253945,-0.54794794,0.3677581863979849,0.99830353,0.99830353
35,-0.20075126,-0.5088883,0.3426395939086294,1.0035584,1.0035584
36,-0.19486944,-0.4998676,0.34096692111959287,1.0100975,1.0100975
37,-0.24387532,-0.55201936,0.3435897435897436,0.922054,0.922054
38,-0.24387532,-0.55201936,0.3435897435897436,0.922054,0.922054
39,-0.24387532,-0.55201936,0.3435897435897436,0.922054,0.922054
40,-0.2573093,-0.5407225,0.34190231362467866,0.9114797,0.9114797
41,-0.25525197,-0.52742356,0.3469387755102041,0.9520184,0.9520184
42,-0.22730309,-0.52360976,0.3486005089058524,0.9920897,0.9920897
43,-0.22087103,-0.5267711,0.345088161209068,0.9777987,0.9777987
44,-0.101363495,-0.4261231,0.3442211055276382,1.193619,1.193619
45,-0.09569622,-0.42339423,0.3233082706766917,1.097451,1.097451
46,-0.101568416,-0.42454422,0.3241206030150754,1.0944903,1.0944903
47,-0.09851651,-0.43062657,0.3225,1.0833569,1.0833569
48,-0.10295443,-0.4478875,0.3032581453634085,0.96544886,0.96544886
49,-0.21806811,-0.47464934,0.3341584158415842,0.97807467,0.97807467
50,-0.24200234,-0.50508654,0.36341463414634145,1.0699843,1.0699843
51,-0.22020909,-0.4971699,0.3643031784841076,1.104137,1.104137
52,-0.22684324,-0.49362496,0.36341463414634145,1.0966051,1.0966051
53,-0.195577,-0.4572015,0.3446601941747573,1.0705224,1.0705224
54,-0.3260417,-0.5571755,0.34382566585956414,0.83591115,0.83591115
55,-0.3021314,-0.53185236,0.36077481840193704,0.96989036,0.96989036
56,-0.22404838,-0.44255227,0.34299516908212563,1.0483751,1.0483751
57,-0.28308454,-0.48676276,0.3523809523809524,0.99205744,0.99205744
58,-0.30158353,-0.5080896,0.35406698564593303,0.9606618,0.9606618
59,-0.29350105,-0.49154064,0.37142857142857144,1.0721011,1.0721011
60,-0.28892246,-0.49108842,0.37142857142857144,1.077132,1.077132
61,-0.30234337,-0.5029605,0.3532219570405728,0.96080595,0.96080595
62,-0.30234337,-0.5029605,0.3532219570405728,0.96080595,0.96080595
63,-0.3137263,-0.5235362,0.34382566585956414,0.88186586,0.88186586
64,-0.2939104,-0.5139754,0.33890214797136037,0.88662493,0.88662493
65,-0.2903988,-0.50405663,0.34382566585956414,0.92467296,0.92467296
66,-0.109658375,-0.4756579,0.3463414634146341,1.146391,1.146391
67,-0.17071089,-0.50608057,0.36231884057971014,1.1348028,1.1348028
68,-0.17071089,-0.50608057,0.36231884057971014,1.1348028,1.1348028
69,-0.1146761,-0.44216356,0.33415233415233414,1.1139221,1.1139221
70,-0.1801643,-0.5074357,0.35207823960880197,1.0727912,1.0727912
71,-0.30864075,-0.56373894,0.35121951219512193,0.8837179,0.8837179
72,-0.20099524,-0.48982108,0.3333333333333333,0.97585034,0.97585034
73,-0.18059778,-0.4629972,0.3325242718446602,1.0190264,1.0190264
74,-0.17401315,-0.4905885,0.3373493975903614,1.0221453,1.0221453
75,-0.18037878,-0.49925256,0.357487922705314,1.1078082,1.1078082
76,-0.11975133,-0.4495775,0.33573141486810554,1.1093283,1.1093283
77,-0.122961745,-0.47678792,0.3389830508474576,1.0951656,1.0951656
78,-0.13054524,-0.44555137,0.35507246376811596,1.1992657,1.1992657
79,-0.19444783,-0.50651854,0.37259615384615385,1.1620144,1.1620144
80,-0.19444783,-0.50651854,0.37259615384615385,1.1620144,1.1620144
81,-0.17248972,-0.44332767,0.37349397590361444,1.2516525,1.2516525
82,-0.18065722,-0.44912106,0.37799043062200954,1.2601739,1.2601739
83,-0.14103517,-0.41354603,0.3761904761904762,1.3263712,1.3263712
84,-0.24648304,-0.5194946,0.3761904761904762,1.1149747,1.1149747
85,-0.22076562,-0.5119589,0.37708830548926014,1.152717,1.152717
86,-0.38714796,-0.6144948,0.35714285714285715,0.78407156,0.78407156
87,-0.37565863,-0.6176495,0.3588516746411483,0.8009502,0.8009502
88,-0.39711243,-0.6373727,0.36319612590799033,0.7814956,0.7814956
89,-0.39711243,-0.6373727,0.36319612590799033,0.7814956,0.7814956
90,-0.37788332,-0.6207857,0.36231884057971014,0.8129252,0.8129252
91,-0.39814043,-0.64326394,0.3588516746411483,0.752854,0.752854
92,-0.13749996,-0.5025671,0.3744075829383886,1.2319708,1.2319708
93,-0.37460154,-0.62958586,0.3744075829383886,0.86785054,0.86785054
94,-0.37460154,-0.62958586,0.3744075829383886,0.86785054,0.86785054
95,-0.122746125,-0.45581776,0.4028103044496487,1.4354875,1.4354875
96,-0.16410658,-0.47123373,0.4211764705882353,1.4705421,1.4705421
97,-0.16410658,-0.47123373,0.4211764705882353,1.4705421,1.4705421
